sha1, type, category, Bkav, Lionic, Elastic, DrWeb, MicroWorld-eScan, FireEye, CAT-QuickHeal, McAfee, Malwarebytes, Zillya, Paloalto, Sangfor, K7AntiVirus, Alibaba, K7GW, CrowdStrike, BitDefenderTheta, Cyren, SymantecMobileInsight, Symantec, ESET-NOD32, APEX, TrendMicro-HouseCall, Avast, ClamAV, Kaspersky, BitDefender, NANO-Antivirus, SUPERAntiSpyware, Tencent, Ad-Aware, Trustlook, TACHYON, Emsisoft, Comodo, F-Secure, Baidu, VIPRE, TrendMicro, McAfee-GW-Edition, Trapmine, CMC, Sophos, Ikarus, GData, Jiangmin, Webroot, Avira, eGambit, Antiy-AVL, Kingsoft, Gridinsoft, Arcabit, ViRobot, Avast-Mobile, Microsoft, Cynet, BitDefenderFalx, AhnLab-V3, Acronis, VBA32, ALYac, MAX, Cylance, Zoner, Rising, Yandex, SentinelOne, MaxSecure, Fortinet, AVG, Cybereason, Panda, last_time, firs_time
46ce7073516f02217dc09c2f34025d39498e7b42, Apple software package, 222533, trojan, 2019-11-01 03:26:37, 2017-11-28 10:43:25, 
undetected, malicious, undetected, malicious, undetected, undetected, undetected, undetected, undetected, undetected, type-unsupported, undetected, type-unsupported, type-unsupported, undetected, undetected, type-unsupported, malicious, malicious, type-unsupported, undetected, malicious, malicious, malicious, malicious, malicious, undetected, malicious, undetected, undetected, malicious, malicious, malicious, undetected, undetected, undetected, type-unsupported, type-unsupported, malicious, type-unsupported, undetected, undetected, type-unsupported, malicious, type-unsupported, undetected, undetected, undetected, type-unsupported, malicious, undetected, undetected, malicious, undetected, malicious, undetected, undetected, type-unsupported, undetected, undetected, malicious, undetected, type-unsupported, undetected, undetected, undetected, malicious, failure, malicious, malicious, type-unsupported, undetected, type-unsupported, malicious, fd2cf1d15feaac7dab78be971b6b037ba5a0e5f5, Macintosh Disk Image, 2594772, trojan, 2018-10-14 04:57:26, 2017-08-12 04:51:19, 
undetected, malicious, type-unsupported, malicious, failure, undetected, undetected, undetected, undetected, malicious, type-unsupported, malicious, undetected, type-unsupported, undetected, type-unsupported, undetected, undetected, type-unsupported, malicious, undetected, undetected, malicious, malicious, malicious, malicious, malicious, malicious, undetected, type-unsupported, undetected, undetected, malicious, malicious, undetected, malicious, undetected, malicious, malicious, type-unsupported, malicious, undetected, undetected, type-unsupported, undetected, type-unsupported, malicious, type-unsupported, undetected, undetected, malicious, undetected, undetected, undetected, malicious, malicious, type-unsupported, type-unsupported, undetected, type-unsupported, undetected, malicious, malicious, type-unsupported, undetected, undetected, undetected, undetected, malicious, undetected, malicious, malicious, type-unsupported, 28e2c43c28f8baf1ed44c9c7b657736d7c747a70, Macintosh Disk Image, 9142784, trojan, 2020-09-27 20:44:12, 2020-09-27 20:44:12, 
undetected, malicious, type-unsupported, undetected, undetected, undetected, undetected, undetected, undetected, undetected, undetected, type-unsupported, undetected, type-unsupported, undetected, undetected, type-unsupported, malicious, undetected, type-unsupported, undetected, malicious, malicious, malicious, malicious, undetected, undetected, malicious, undetected, undetected, type-unsupported, malicious, undetected, malicious, malicious, undetected, undetected, undetected, type-unsupported, type-unsupported, malicious, malicious, type-unsupported, type-unsupported, undetected, type-unsupported, malicious, type-unsupported, malicious, undetected, undetected, undetected, malicious, undetected, malicious, malicious, undetected, type-unsupported, undetected, type-unsupported, undetected, undetected, undetected, undetected, type-unsupported, undetected, malicious, malicious, undetected, malicious, undetected, undetected, malicious, type-unsupported, undetected, malicious, e615632c9998e4d3e5acd8851864ed09b02c77d2, Mach-O, 47944, trojan, 2021-11-08 04:07:00, 2019-03-05 01:32:34, 
undetected, malicious, type-unsupported, malicious, malicious, timeout, malicious, undetected, malicious, undetected, malicious, type-unsupported, undetected, undetected, type-unsupported, undetected, type-unsupported, undetected, undetected, undetected, type-unsupported, malicious, malicious, type-unsupported, malicious, malicious, malicious, malicious, malicious, malicious, undetected, undetected, malicious, malicious, malicious, undetected, undetected, undetected, malicious, malicious, type-unsupported, undetected, malicious, malicious, type-unsupported, undetected, type-unsupported, malicious, type-unsupported, malicious, undetected, undetected, malicious, undetected, malicious, undetected, type-unsupported, malicious, undetected, malicious, undetected, undetected, type-unsupported, undetected, malicious, undetected, malicious, malicious, malicious, malicious, type-unsupported, undetected, type-unsupported, 4fbddb44adf4698e0a828ba6bbf092715193be00, unknown, 7587, trojan, 2020-04-10 21:34:27, 2008-06-24 06:31:45, 
undetected, malicious, malicious, malicious, malicious, malicious, undetected, undetected, type-unsupported, undetected, type-unsupported, undetected, type-unsupported, type-unsupported, undetected, malicious, type-unsupported, malicious, undetected, type-unsupported, malicious, malicious, malicious, malicious, malicious, malicious, malicious, undetected, malicious, malicious, malicious, malicious, malicious, malicious, undetected, malicious, malicious, type-unsupported, malicious, malicious, malicious, malicious, undetected, type-unsupported, malicious, type-unsupported, undetected, undetected, malicious, type-unsupported, malicious, undetected, malicious, undetected, type-unsupported, malicious, type-unsupported, undetected, malicious, malicious, malicious, type-unsupported, undetected, malicious, malicious, malicious, malicious, malicious, malicious, malicious, type-unsupported, undetected, type-unsupported, malicious, ebe2b153a99a6e44bf7004edbd5bf99ec79ba430, Mach-O, 89828, trojan, 2022-01-20 06:04:59, 2014-02-11 12:47:25, 
undetected, malicious, malicious, malicious, malicious, malicious, malicious, timeout, malicious, undetected, malicious, type-unsupported, undetected, undetected, type-unsupported, undetected, type-unsupported, undetected, malicious, malicious, failure, malicious, malicious, type-unsupported, malicious, malicious, malicious, malicious, malicious, malicious, undetected, malicious, malicious, undetected, malicious, malicious, undetected, undetected, malicious, malicious, malicious, undetected, malicious, undetected, malicious, undetected, failure, malicious, type-unsupported, malicious, undetected, undetected, undetected, undetected, type-unsupported, malicious, malicious, type-unsupported, malicious, undetected, undetected, malicious, type-unsupported, undetected, malicious, undetected, malicious, malicious, undetected, malicious, type-unsupported, undetected, type-unsupported, 63825b6d6d120131c83906136fcd027b482ef5ee, Apple software package, 169266, trojan, 2019-11-04 04:17:22, 2017-09-21 13:18:50, 
undetected, undetected, type-unsupported, malicious, undetected, undetected, malicious, undetected, undetected, undetected, undetected, type-unsupported, undetected, type-unsupported, undetected, undetected, malicious, type-unsupported, malicious, malicious, type-unsupported, undetected, malicious, malicious, malicious, malicious, malicious, undetected, malicious, undetected, undetected, malicious, malicious, undetected, malicious, malicious, undetected, malicious, malicious, malicious, type-unsupported, malicious, undetected, type-unsupported, malicious, type-unsupported, undetected, undetected, undetected, malicious, undetected, undetected, type-unsupported, malicious, undetected, type-unsupported, undetected, type-unsupported, undetected, malicious, malicious, undetected, type-unsupported, undetected, malicious, undetected, malicious, undetected, undetected, malicious, type-unsupported, type-unsupported, type-unsupported, fa3deb60b8a2eaa29a7dccf14bee6adae81f442f, Mach-O, 673092, trojan, 2021-11-08 03:58:01, 2020-04-08 03:06:30, 
undetected, malicious, malicious, malicious, undetected, malicious, malicious, undetected, malicious, undetected, undetected, type-unsupported, malicious, type-unsupported, undetected, undetected, malicious, failure, malicious, malicious, undetected, malicious, malicious, malicious, malicious, malicious, undetected, malicious, malicious, malicious, malicious, malicious, malicious, undetected, malicious, undetected, malicious, malicious, malicious, malicious, malicious, malicious, undetected, type-unsupported, malicious, type-unsupported, malicious, malicious, undetected, undetected, malicious, undetected, type-unsupported, type-unsupported, malicious, type-unsupported, malicious, undetected, malicious, undetected, undetected, type-unsupported, undetected, malicious, undetected, undetected, malicious, malicious, malicious, type-unsupported, type-unsupported, type-unsupported, b8c706e0f2e3de305c458009e11812f596eab2ee, Mach-O, 162688, trojan, 2022-01-20 06:12:54, 2017-11-01 16:23:13, 
undetected, malicious, malicious, malicious, malicious, malicious, undetected, malicious, undetected, malicious, type-unsupported, malicious, undetected, type-unsupported, undetected, type-unsupported, undetected, undetected, malicious, failure, malicious, malicious, type-unsupported, undetected, malicious, malicious, malicious, malicious, malicious, undetected, malicious, malicious, malicious, malicious, malicious, undetected, undetected, undetected, undetected, malicious, undetected, malicious, malicious, malicious, undetected, type-unsupported, malicious, type-unsupported, malicious, undetected, undetected, undetected, undetected, type-unsupported, malicious, undetected, type-unsupported, malicious, undetected, malicious, malicious, undetected, type-unsupported, undetected, undetected, undetected, malicious, malicious, malicious, malicious, type-unsupported, undetected, type-unsupported, ccde119ee9f52685a411318acd5d8f7122baa072, Mach-O, 289856, adware, 2018-05-01 19:37:22, 2016-03-27 15:59:55, 
undetected, undetected, malicious, malicious, malicious, undetected, malicious, undetected, malicious, type-unsupported, undetected, undetected, type-unsupported, undetected, type-unsupported, undetected, malicious, type-unsupported, malicious, malicious, undetected, undetected, malicious, undetected, malicious, malicious, malicious, undetected, malicious, malicious, undetected, malicious, malicious, undetected, malicious, undetected, undetected, malicious, type-unsupported, undetected, malicious, malicious, malicious, undetected, type-unsupported, malicious, type-unsupported, undetected, undetected, undetected, malicious, undetected, type-unsupported, type-unsupported, malicious, malicious, type-unsupported, undetected, undetected, malicious, malicious, undetected, type-unsupported, undetected, undetected, undetected, undetected, malicious, undetected, malicious, type-unsupported, malicious, type-unsupported, ce3e827bcc426aea70447c2d6ff52c2b239db33e, Mach-O, 146948, trojan, 2021-11-08 04:07:15, 2018-02-14 04:58:54, 
undetected, malicious, type-unsupported, malicious, malicious, undetected, undetected, malicious, undetected, malicious, type-unsupported, malicious, undetected, type-unsupported, undetected, type-unsupported, undetected, undetected, type-unsupported, malicious, malicious, type-unsupported, malicious, malicious, malicious, malicious, malicious, malicious, undetected, malicious, malicious, undetected, malicious, undetected, undetected, undetected, undetected, malicious, malicious, type-unsupported, malicious, malicious, malicious, malicious, undetected, type-unsupported, malicious, type-unsupported, malicious, undetected, undetected, malicious, undetected, type-unsupported, malicious, malicious, type-unsupported, malicious, undetected, malicious, malicious, undetected, type-unsupported, undetected, undetected, undetected, malicious, malicious, malicious, malicious, type-unsupported, undetected, type-unsupported, 48b9f2bfdadd96e148b7df2fe576d578825b48d9, Mach-O, 145276, trojan, 2019-11-04 04:32:40, 2017-08-15 23:48:39, 
undetected, malicious, malicious, malicious, malicious, undetected, malicious, undetected, malicious, type-unsupported, undetected, undetected, type-unsupported, undetected, type-unsupported, undetected, undetected, malicious, type-unsupported, malicious, malicious, type-unsupported, undetected, malicious, malicious, malicious, malicious, malicious, undetected, undetected, malicious, undetected, malicious, malicious, undetected, malicious, undetected, undetected, malicious, type-unsupported, undetected, malicious, undetected, type-unsupported, undetected, type-unsupported, malicious, type-unsupported, undetected, undetected, undetected, malicious, undetected, malicious, malicious, type-unsupported, undetected, undetected, malicious, malicious, undetected, type-unsupported, undetected, malicious, undetected, malicious, malicious, malicious, undetected, malicious, type-unsupported, malicious, type-unsupported, 086b22075d464b327a2bcbf8b66736560a215347, Mach-O, 17153627, trojan, 2020-11-05 05:43:20, 2020-11-05 05:43:20, 
